Pidgey;Normal Flying 
Braviary;Normal Flying 
Meloetta-aria;Normal Psychic 
Bunnelby;Normal 
Diggersby;Normal Ground 
Fletchling;Normal Flying 
Litleo;Fire Normal 
Pyroar;Fire Normal 
Furfrou;Normal 
Helioptile;Electric Normal 
Heliolisk;Electric Normal 
Pikipek;Normal Flying 
Trumbeak;Normal Flying 
Toucannon;Normal Flying 
Yungoos;Normal 
Gumshoos;Normal 
Stufful;Normal Fighting 
Bewear;Normal Fighting 
Oranguru;Normal Psychic 
Type-null;Normal 
Silvally;Normal 
Komala;Normal 
Drampa;Normal Dragon 
Meloetta-pirouette;Normal Fighting 
Kangaskhan-mega;Normal 
Audino-mega;Normal Fairy 
Pidgeot-mega;Normal Flying 
Lopunny-mega;Normal Fighting 
Rattata-alola;Dark Normal 
Raticate-alola;Dark Normal 
Raticate-totem-alola;Dark Normal 
Gumshoos-totem;Normal 
Charmander;Fire 
Charmeleon;Fire 
Charizard;Fire Flying 
Vulpix;Fire 
Ninetales;Fire 
Growlithe;Fire 
Arcanine;Fire 
Ponyta;Fire 
Rapidash;Fire 
Magmar;Fire 
Flareon;Fire 
Moltres;Fire Flying 
Cyndaquil;Fire 
Quilava;Fire 
Typhlosion;Fire 
Slugma;Fire 
Magcargo;Fire Rock 
Houndour;Dark Fire 
Houndoom;Dark Fire 
Magby;Fire 
Entei;Fire 
Ho-oh;Fire Flying 
Torchic;Fire 
Combusken;Fire Fighting 
Blaziken;Fire Fighting 
Numel;Fire Ground 
Camerupt;Fire Ground 
Torkoal;Fire 
Chimchar;Fire 
Monferno;Fire Fighting 
Infernape;Fire Fighting 
Magmortar;Fire 
Heatran;Fire Steel 
Victini;Psychic Fire 
Tepig;Fire 
Pignite;Fire Fighting 
Emboar;Fire Fighting 
Pansear;Fire 
Simisear;Fire 
Darumaka;Fire 
Darmanitan-standard;Fire 
Litwick;Ghost Fire 
Lampent;Ghost Fire 
Chandelure;Ghost Fire 
Heatmor;Fire 
Larvesta;Bug Fire 
Volcarona;Bug Fire 
Reshiram;Dragon Fire 
Fennekin;Fire 
Braixen;Fire 
Delphox;Fire Psychic 
Fletchinder;Fire Flying 
Talonflame;Fire Flying 
Litleo;Fire Normal 
Pyroar;Fire Normal 
Volcanion;Fire Water 
Litten;Fire 
Torracat;Fire 
Incineroar;Fire Dark 
Oricorio;Fire Electric Psychic Ghost Flying 
Salandit;Poison Fire 
Salazzle;Poison Fire 
Turtonator;Fire Dragon 
Blacephalon;Fire Ghost 
Rotom-heat;Electric Fire 
Castform-sunny;Fire 
Darmanitan-zen;Fire Psychic 
Charizard-mega-x;Fire Dragon 
Charizard-mega-y;Fire Flying 
Houndoom-mega;Dark Fire 
Blaziken-mega;Fire Fighting 
Groudon-primal;Ground Fire 
Camerupt-mega;Fire Ground 
Marowak-alola;Fire Ghost 
Salazzle-totem;Poison Fire 
Marowak-totem;Fire Ghost 
Mankey;Fighting 
Primeape;Fighting 
Poliwrath;Water Fighting 
Machop;Fighting 
Machoke;Fighting 
Machamp;Fighting 
Hitmonlee;Fighting 
Hitmonchan;Fighting 
Heracross;Bug Fighting 
Tyrogue;Fighting 
Hitmontop;Fighting 
Combusken;Fire Fighting 
Blaziken;Fire Fighting 
Breloom;Grass Fighting 
Makuhita;Fighting 
Hariyama;Fighting 
Meditite;Fighting Psychic 
Medicham;Fighting Psychic 
Monferno;Fire Fighting 
Infernape;Fire Fighting 
Riolu;Fighting 
Lucario;Fighting Steel 
Croagunk;Poison Fighting 
Toxicroak;Poison Fighting 
Gallade;Psychic Fighting 
Pignite;Fire Fighting 
Emboar;Fire Fighting 
Timburr;Fighting 
Gurdurr;Fighting 
Conkeldurr;Fighting 
Throh;Fighting 
Sawk;Fighting 
Scraggy;Dark Fighting 
Scrafty;Dark Fighting 
Mienfoo;Fighting 
Mienshao;Fighting 
Cobalion;Steel Fighting 
Terrakion;Rock Fighting 
Virizion;Grass Fighting 
Keldeo-ordinary;Water Fighting 
Chesnaught;Grass Fighting 
Pancham;Fighting 
Pangoro;Fighting Dark 
Hawlucha;Fighting Flying 
Crabrawler;Fighting 
Crabominable;Fighting Ice 
Stufful;Normal Fighting 
Bewear;Normal Fighting 
Passimian;Fighting 
Hakamo-o;Dragon Fighting 
Kommo-o;Dragon Fighting 
Buzzwole;Bug Fighting 
Pheromosa;Bug Fighting 
Marshadow;Fighting Ghost 
Meloetta-pirouette;Normal Fighting 
Keldeo-resolute;Water Fighting 
Mewtwo-mega-x;Psychic Fighting 
Heracross-mega;Bug Fighting 
Blaziken-mega;Fire Fighting 
Medicham-mega;Fighting Psychic 
Lucario-mega;Fighting Steel 
Gallade-mega;Psychic Fighting 
Lopunny-mega;Normal Fighting 
Kommo-o-totem;Dragon Fighting 
Squirtle;Water 
Wartortle;Water 
Blastoise;Water 
Psyduck;Water 
Golduck;Water 
Poliwag;Water 
Poliwhirl;Water 
Poliwrath;Water Fighting 
Tentacool;Water Poison 
Tentacruel;Water Poison 
Slowpoke;Water Psychic 
Slowbro;Water Psychic 
Seel;Water 
Dewgong;Water Ice 
Shellder;Water 
Cloyster;Water Ice 
Krabby;Water 
Kingler;Water 
Horsea;Water 
Seadra;Water 
Goldeen;Water 
Seaking;Water 
Staryu;Water 
Starmie;Water Psychic 
Magikarp;Water 
Gyarados;Water Flying 
Lapras;Water Ice 
Vaporeon;Water 
Omanyte;Rock Water 
Omastar;Rock Water 
Kabuto;Rock Water 
Kabutops;Rock Water 
Totodile;Water 
Croconaw;Water 
Feraligatr;Water 
Chinchou;Water Electric 
Lanturn;Water Electric 
Marill;Water Fairy 
Azumarill;Water Fairy 
Politoed;Water 
Wooper;Water Ground 
Quagsire;Water Ground 
Slowking;Water Psychic 
Qwilfish;Water Poison 
Corsola;Water Rock 
Remoraid;Water 
Octillery;Water 
Mantine;Water Flying 
Kingdra;Water Dragon 
Suicune;Water 
Mudkip;Water 
Marshtomp;Water Ground 
Swampert;Water Ground 
Lotad;Water Grass 
Lombre;Water Grass 
Ludicolo;Water Grass 
Wingull;Water Flying 
Pelipper;Water Flying 
Surskit;Bug Water 
Carvanha;Water Dark 
Sharpedo;Water Dark 
Wailmer;Water 
Wailord;Water 
Barboach;Water Ground 
Whiscash;Water Ground 
Corphish;Water 
Crawdaunt;Water Dark 
Feebas;Water 
Milotic;Water 
Spheal;Ice Water 
Sealeo;Ice Water 
Walrein;Ice Water 
Clamperl;Water 
Huntail;Water 
Gorebyss;Water 
Relicanth;Water Rock 
Luvdisc;Water 
Kyogre;Water 
Piplup;Water 
Prinplup;Water 
Empoleon;Water Steel 
Bibarel;Normal Water 
Buizel;Water 
Floatzel;Water 
Shellos;Water 
Gastrodon;Water Ground 
Finneon;Water 
Lumineon;Water 
Mantyke;Water Flying 
Palkia;Water Dragon 
Phione;Water 
Manaphy;Water 
Oshawott;Water 
Dewott;Water 
Samurott;Water 
Panpour;Water 
Simipour;Water 
Tympole;Water 
Palpitoad;Water Ground 
Seismitoad;Water Ground 
Basculin-red-striped;Water 
Tirtouga;Water Rock 
Carracosta;Water Rock 
Ducklett;Water Flying 
Swanna;Water Flying 
Frillish;Water Ghost 
Jellicent;Water Ghost 
Alomomola;Water 
Keldeo-ordinary;Water Fighting 
Froakie;Water 
Frogadier;Water 
Greninja;Water Dark 
Binacle;Rock Water 
Barbaracle;Rock Water 
Skrelp;Poison Water 
Clauncher;Water 
Clawitzer;Water 
Volcanion;Fire Water 
Popplio;Water 
Brionne;Water 
Primarina;Water Fairy 
Wishiwashi-solo;Water 
Mareanie;Poison Water 
Toxapex;Poison Water 
Dewpider;Water Bug 
Araquanid;Water Bug 
Wimpod;Bug Water 
Golisopod;Bug Water 
Pyukumuku;Water 
Bruxish;Water Psychic 
Tapu-fini;Water Fairy 
Rotom-wash;Electric Water 
Castform-rainy;Water 
Basculin-blue-striped;Water 
Keldeo-resolute;Water Fighting 
Blastoise-mega;Water 
Gyarados-mega;Water Dark 
Swampert-mega;Water Ground 
Sharpedo-mega;Water Dark 
Slowbro-mega;Water Psychic 
Kyogre-primal;Water 
Greninja-battle-bond;Water Dark 
Greninja-ash;Water Dark 
Wishiwashi-school;Water 
Araquanid-totem;Water Bug 
Charizard;Fire Flying 
Butterfree;Bug Flying 
Pidgey;Normal Flying 
Pidgeotto;Normal Flying 
Pidgeot;Normal Flying 
Spearow;Normal Flying 
Fearow;Normal Flying 
Zubat;Poison Flying 
Golbat;Poison Flying 
Farfetchd;Normal Flying 
Doduo;Normal Flying 
Dodrio;Normal Flying 
Scyther;Bug Flying 
Gyarados;Water Flying 
Aerodactyl;Rock Flying 
Articuno;Ice Flying 
Zapdos;Electric Flying 
Moltres;Fire Flying 
Dragonite;Dragon Flying 
Hoothoot;Normal Flying 
Noctowl;Normal Flying 
Ledyba;Bug Flying 
Ledian;Bug Flying 
Crobat;Poison Flying 
Togetic;Fairy Flying 
Natu;Psychic Flying 
Xatu;Psychic Flying 
Hoppip;Grass Flying 
Skiploom;Grass Flying 
Jumpluff;Grass Flying 
Yanma;Bug Flying 
Murkrow;Dark Flying 
Gligar;Ground Flying 
Delibird;Ice Flying 
Mantine;Water Flying 
Skarmory;Steel Flying 
Lugia;Psychic Flying 
Ho-oh;Fire Flying 
Beautifly;Bug Flying 
Taillow;Normal Flying 
Swellow;Normal Flying 
Wingull;Water Flying 
Pelipper;Water Flying 
Masquerain;Bug Flying 
Ninjask;Bug Flying 
Swablu;Normal Flying 
Altaria;Dragon Flying 
Tropius;Grass Flying 
Salamence;Dragon Flying 
Rayquaza;Dragon Flying 
Starly;Normal Flying 
Staravia;Normal Flying 
Staraptor;Normal Flying 
Mothim;Bug Flying 
Combee;Bug Flying 
Vespiquen;Bug Flying 
Drifloon;Ghost Flying 
Drifblim;Ghost Flying 
Honchkrow;Dark Flying 
Chatot;Normal Flying 
Mantyke;Water Flying 
Togekiss;Fairy Flying 
Yanmega;Bug Flying 
Gliscor;Ground Flying 
Pidove;Normal Flying 
Tranquill;Normal Flying 
Unfezant;Normal Flying 
Woobat;Psychic Flying 
Swoobat;Psychic Flying 
Sigilyph;Psychic Flying 
Archen;Rock Flying 
Archeops;Rock Flying 
Ducklett;Water Flying 
Swanna;Water Flying 
Emolga;Electric Flying 
Rufflet;Normal Flying 
Braviary;Normal Flying 
Vullaby;Dark Flying 
Mandibuzz;Dark Flying 
Tornadus-incarnate;Flying 
Thundurus-incarnate;Electric Flying 
Landorus-incarnate;Ground Flying 
Fletchling;Normal Flying 
Fletchinder;Fire Flying 
Talonflame;Fire Flying 
Vivillon;Bug Flying 
Hawlucha;Fighting Flying 
Noibat;Flying Dragon 
Noivern;Flying Dragon 
Yveltal;Dark Flying 
Rowlet;Grass Flying 
Dartrix;Grass Flying 
Pikipek;Normal Flying 
Trumbeak;Normal Flying 
Toucannon;Normal Flying 
Oricorio-baile;Fire Flying 
Minior-red-meteor;Rock Flying 
Celesteela;Steel Flying 
Shaymin-sky;Grass Flying 
Rotom-fan;Electric Flying 
Tornadus-therian;Flying 
Thundurus-therian;Electric Flying 
Landorus-therian;Ground Flying 
Charizard-mega-y;Fire Flying 
Pinsir-mega;Bug Flying 
Aerodactyl-mega;Rock Flying 
Pidgeot-mega;Normal Flying 
Rayquaza-mega;Dragon Flying 
Salamence-mega;Dragon Flying 
Oricorio-pom-pom;Electric Flying 
Oricorio-pau;Psychic Flying 
Oricorio-sensu;Ghost Flying 
Minior-orange-meteor;Rock Flying 
Minior-yellow-meteor;Rock Flying 
Minior-green-meteor;Rock Flying 
Minior-blue-meteor;Rock Flying 
Minior-indigo-meteor;Rock Flying 
Minior-violet-meteor;Rock Flying 
Minior-red;Rock Flying 
Minior-orange;Rock Flying 
Minior-yellow;Rock Flying 
Minior-green;Rock Flying 
Minior-blue;Rock Flying 
Minior-indigo;Rock Flying 
Minior-violet;Rock Flying 
Bulbasaur;Grass Poison 
Ivysaur;Grass Poison 
Venusaur;Grass Poison 
Oddish;Grass Poison 
Gloom;Grass Poison 
Vileplume;Grass Poison 
Paras;Bug Grass 
Parasect;Bug Grass 
Bellsprout;Grass Poison 
Weepinbell;Grass Poison 
Victreebel;Grass Poison 
Exeggcute;Grass Psychic 
Exeggutor;Grass Psychic 
Tangela;Grass 
Chikorita;Grass 
Bayleef;Grass 
Meganium;Grass 
Bellossom;Grass 
Hoppip;Grass Flying 
Skiploom;Grass Flying 
Jumpluff;Grass Flying 
Sunkern;Grass 
Sunflora;Grass 
Celebi;Psychic Grass 
Treecko;Grass 
Grovyle;Grass 
Sceptile;Grass 
Lotad;Water Grass 
Lombre;Water Grass 
Ludicolo;Water Grass 
Seedot;Grass 
Nuzleaf;Grass Dark 
Shiftry;Grass Dark 
Shroomish;Grass 
Breloom;Grass Fighting 
Roselia;Grass Poison 
Cacnea;Grass 
Cacturne;Grass Dark 
Lileep;Rock Grass 
Cradily;Rock Grass 
Tropius;Grass Flying 
Turtwig;Grass 
Grotle;Grass 
Torterra;Grass Ground 
Budew;Grass Poison 
Roserade;Grass Poison 
Wormadam-plant;Bug Grass 
Cherubi;Grass 
Cherrim;Grass 
Carnivine;Grass 
Snover;Grass Ice 
Abomasnow;Grass Ice 
Tangrowth;Grass 
Leafeon;Grass 
Shaymin-land;Grass 
Snivy;Grass 
Servine;Grass 
Serperior;Grass 
Pansage;Grass 
Simisage;Grass 
Sewaddle;Bug Grass 
Swadloon;Bug Grass 
Leavanny;Bug Grass 
Cottonee;Grass Fairy 
Whimsicott;Grass Fairy 
Petilil;Grass 
Lilligant;Grass 
Maractus;Grass 
Deerling;Normal Grass 
Sawsbuck;Normal Grass 
Foongus;Grass Poison 
Amoonguss;Grass Poison 
Ferroseed;Grass Steel 
Ferrothorn;Grass Steel 
Virizion;Grass Fighting 
Chespin;Grass 
Quilladin;Grass 
Chesnaught;Grass Fighting 
Skiddo;Grass 
Gogoat;Grass 
Phantump;Ghost Grass 
Trevenant;Ghost Grass 
Pumpkaboo-average;Ghost Grass 
Gourgeist-average;Ghost Grass 
Rowlet;Grass Flying 
Dartrix;Grass Flying 
Decidueye;Grass Ghost 
Fomantis;Grass 
Lurantis;Grass 
Morelull;Grass Fairy 
Shiinotic;Grass Fairy 
Bounsweet;Grass 
Steenee;Grass 
Tsareena;Grass 
Dhelmise;Ghost Grass 
Tapu-bulu;Grass Fairy 
Kartana;Grass Steel 
Shaymin-sky;Grass Flying 
Rotom-mow;Electric Grass 
Pumpkaboo-small;Ghost Grass 
Pumpkaboo-large;Ghost Grass 
Pumpkaboo-super;Ghost Grass 
Gourgeist-small;Ghost Grass 
Gourgeist-large;Ghost Grass 
Gourgeist-super;Ghost Grass 
Venusaur-mega;Grass Poison 
Abomasnow-mega;Grass Ice 
Sceptile-mega;Grass Dragon 
Exeggutor-alola;Grass Dragon 
Lurantis-totem;Grass 
Bulbasaur;Grass Poison 
Ivysaur;Grass Poison 
Venusaur;Grass Poison 
Weedle;Bug Poison 
Kakuna;Bug Poison 
Beedrill;Bug Poison 
Ekans;Poison 
Arbok;Poison 
Nidoran-f;Poison 
Nidorina;Poison 
Nidoqueen;Poison Ground 
Nidoran-m;Poison 
Nidorino;Poison 
Nidoking;Poison Ground 
Zubat;Poison Flying 
Golbat;Poison Flying 
Oddish;Grass Poison 
Gloom;Grass Poison 
Vileplume;Grass Poison 
Venonat;Bug Poison 
Venomoth;Bug Poison 
Bellsprout;Grass Poison 
Weepinbell;Grass Poison 
Victreebel;Grass Poison 
Tentacool;Water Poison 
Tentacruel;Water Poison 
Grimer;Poison 
Muk;Poison 
Gastly;Ghost Poison 
Haunter;Ghost Poison 
Gengar;Ghost Poison 
Koffing;Poison 
Weezing;Poison 
Spinarak;Bug Poison 
Ariados;Bug Poison 
Crobat;Poison Flying 
Qwilfish;Water Poison 
Dustox;Bug Poison 
Roselia;Grass Poison 
Gulpin;Poison 
Swalot;Poison 
Seviper;Poison 
Budew;Grass Poison 
Roserade;Grass Poison 
Stunky;Poison Dark 
Skuntank;Poison Dark 
Skorupi;Poison Bug 
Drapion;Poison Dark 
Croagunk;Poison Fighting 
Toxicroak;Poison Fighting 
Venipede;Bug Poison 
Whirlipede;Bug Poison 
Scolipede;Bug Poison 
Trubbish;Poison 
Garbodor;Poison 
Foongus;Grass Poison 
Amoonguss;Grass Poison 
Skrelp;Poison Water 
Dragalge;Poison Dragon 
Mareanie;Poison Water 
Toxapex;Poison Water 
Salandit;Poison Fire 
Salazzle;Poison Fire 
Nihilego;Rock Poison 
Poipole;Poison 
Naganadel;Poison Dragon 
Venusaur-mega;Grass Poison 
Gengar-mega;Ghost Poison 
Beedrill-mega;Bug Poison 
Grimer-alola;Poison Dark 
Muk-alola;Poison Dark 
Salazzle-totem;Poison Fire 
Pikachu;Electric 
Raichu;Electric 
Magnemite;Electric Steel 
Magneton;Electric Steel 
Voltorb;Electric 
Electrode;Electric 
Electabuzz;Electric 
Jolteon;Electric 
Zapdos;Electric Flying 
Chinchou;Water Electric 
Lanturn;Water Electric 
Pichu;Electric 
Mareep;Electric 
Flaaffy;Electric 
Ampharos;Electric 
Elekid;Electric 
Raikou;Electric 
Electrike;Electric 
Manectric;Electric 
Plusle;Electric 
Minun;Electric 
Shinx;Electric 
Luxio;Electric 
Luxray;Electric 
Pachirisu;Electric 
Magnezone;Electric Steel 
Electivire;Electric 
Rotom;Electric Ghost 
Blitzle;Electric 
Zebstrika;Electric 
Emolga;Electric Flying 
Joltik;Bug Electric 
Galvantula;Bug Electric 
Tynamo;Electric 
Eelektrik;Electric 
Eelektross;Electric 
Stunfisk;Ground Electric 
Thundurus-incarnate;Electric Flying 
Zekrom;Dragon Electric 
Helioptile;Electric Normal 
Heliolisk;Electric Normal 
Dedenne;Electric Fairy 
Charjabug;Bug Electric 
Vikavolt;Bug Electric 
Togedemaru;Electric Steel 
Tapu-koko;Electric Fairy 
Xurkitree;Electric 
Zeraora;Electric 
Rotom-heat;Electric Fire 
Rotom-wash;Electric Water 
Rotom-frost;Electric Ice 
Rotom-fan;Electric Flying 
Rotom-mow;Electric Grass 
Thundurus-therian;Electric Flying 
Ampharos-mega;Electric Dragon 
Manectric-mega;Electric 
Pikachu-rock-star;Electric 
Pikachu-belle;Electric 
Pikachu-pop-star;Electric 
Pikachu-phd;Electric 
Pikachu-libre;Electric 
Pikachu-cosplay;Electric 
Pikachu-original-cap;Electric 
Pikachu-hoenn-cap;Electric 
Pikachu-sinnoh-cap;Electric 
Pikachu-unova-cap;Electric 
Pikachu-kalos-cap;Electric 
Pikachu-alola-cap;Electric 
Raichu-alola;Electric Psychic 
Geodude-alola;Rock Electric 
Graveler-alola;Rock Electric 
Golem-alola;Rock Electric 
Vikavolt-totem;Bug Electric 
Oricorio-pom-pom;Electric Flying 
Pikachu-partner-cap;Electric 
Togedemaru-totem;Electric Steel 
Sandshrew;Ground 
Sandslash;Ground 
Nidoqueen;Poison Ground 
Nidoking;Poison Ground 
Diglett;Ground 
Dugtrio;Ground 
Geodude;Rock Ground 
Graveler;Rock Ground 
Golem;Rock Ground 
Onix;Rock Ground 
Cubone;Ground 
Marowak;Ground 
Rhyhorn;Ground Rock 
Rhydon;Ground Rock 
Wooper;Water Ground 
Quagsire;Water Ground 
Gligar;Ground Flying 
Steelix;Steel Ground 
Swinub;Ice Ground 
Piloswine;Ice Ground 
Phanpy;Ground 
Donphan;Ground 
Larvitar;Rock Ground 
Pupitar;Rock Ground 
Marshtomp;Water Ground 
Swampert;Water Ground 
Nincada;Bug Ground 
Numel;Fire Ground 
Camerupt;Fire Ground 
Trapinch;Ground 
Vibrava;Ground Dragon 
Flygon;Ground Dragon 
Barboach;Water Ground 
Whiscash;Water Ground 
Baltoy;Ground Psychic 
Claydol;Ground Psychic 
Groudon;Ground 
Torterra;Grass Ground 
Gastrodon;Water Ground 
Gible;Dragon Ground 
Gabite;Dragon Ground 
Garchomp;Dragon Ground 
Hippopotas;Ground 
Hippowdon;Ground 
Rhyperior;Ground Rock 
Gliscor;Ground Flying 
Mamoswine;Ice Ground 
Drilbur;Ground 
Excadrill;Ground Steel 
Palpitoad;Water Ground 
Seismitoad;Water Ground 
Sandile;Ground Dark 
Krokorok;Ground Dark 
Krookodile;Ground Dark 
Stunfisk;Ground Electric 
Golett;Ground Ghost 
Golurk;Ground Ghost 
Landorus-incarnate;Ground Flying 
Diggersby;Normal Ground 
Zygarde;Dragon Ground 
Mudbray;Ground 
Mudsdale;Ground 
Sandygast;Ghost Ground 
Palossand;Ghost Ground 
Wormadam-sandy;Bug Ground 
Landorus-therian;Ground Flying 
Garchomp-mega;Dragon Ground 
Swampert-mega;Water Ground 
Steelix-mega;Steel Ground 
Groudon-primal;Ground Fire 
Camerupt-mega;Fire Ground 
Diglett-alola;Ground Steel 
Dugtrio-alola;Ground Steel 
Zygarde-10;Dragon Ground 
Zygarde-50;Dragon Ground 
Zygarde-complete;Dragon Ground 
Abra;Psychic 
Kadabra;Psychic 
Alakazam;Psychic 
Slowpoke;Water Psychic 
Slowbro;Water Psychic 
Drowzee;Psychic 
Hypno;Psychic 
Exeggcute;Grass Psychic 
Exeggutor;Grass Psychic 
Starmie;Water Psychic 
Mr-mime;Psychic Fairy 
Jynx;Ice Psychic 
Mewtwo;Psychic 
Mew;Psychic 
Natu;Psychic Flying 
Xatu;Psychic Flying 
Espeon;Psychic 
Slowking;Water Psychic 
Unown;Psychic 
Wobbuffet;Psychic 
Girafarig;Normal Psychic 
Smoochum;Ice Psychic 
Lugia;Psychic Flying 
Celebi;Psychic Grass 
Ralts;Psychic Fairy 
Kirlia;Psychic Fairy 
Gardevoir;Psychic Fairy 
Meditite;Fighting Psychic 
Medicham;Fighting Psychic 
Spoink;Psychic 
Grumpig;Psychic 
Lunatone;Rock Psychic 
Solrock;Rock Psychic 
Baltoy;Ground Psychic 
Claydol;Ground Psychic 
Chimecho;Psychic 
Wynaut;Psychic 
Beldum;Steel Psychic 
Metang;Steel Psychic 
Metagross;Steel Psychic 
Latias;Dragon Psychic 
Latios;Dragon Psychic 
Jirachi;Steel Psychic 
Deoxys-normal;Psychic 
Chingling;Psychic 
Bronzor;Steel Psychic 
Bronzong;Steel Psychic 
Mime-jr;Psychic Fairy 
Gallade;Psychic Fighting 
Uxie;Psychic 
Mesprit;Psychic 
Azelf;Psychic 
Cresselia;Psychic 
Victini;Psychic Fire 
Munna;Psychic 
Musharna;Psychic 
Woobat;Psychic Flying 
Swoobat;Psychic Flying 
Sigilyph;Psychic Flying 
Gothita;Psychic 
Gothorita;Psychic 
Gothitelle;Psychic 
Solosis;Psychic 
Duosion;Psychic 
Reuniclus;Psychic 
Elgyem;Psychic 
Beheeyem;Psychic 
Meloetta-aria;Normal Psychic 
Delphox;Fire Psychic 
Espurr;Psychic 
Meowstic-male;Psychic 
Inkay;Dark Psychic 
Malamar;Dark Psychic 
Hoopa;Psychic Ghost 
Oranguru;Normal Psychic 
Bruxish;Water Psychic 
Tapu-lele;Psychic Fairy 
Cosmog;Psychic 
Cosmoem;Psychic 
Solgaleo;Psychic Steel 
Lunala;Psychic Ghost 
Necrozma;Psychic 
Deoxys-attack;Psychic 
Deoxys-defense;Psychic 
Deoxys-speed;Psychic 
Darmanitan-zen;Fire Psychic 
Meowstic-female;Psychic 
Alakazam-mega;Psychic 
Mewtwo-mega-x;Psychic Fighting 
Mewtwo-mega-y;Psychic 
Gardevoir-mega;Psychic Fairy 
Medicham-mega;Fighting Psychic 
Latias-mega;Dragon Psychic 
Latios-mega;Dragon Psychic 
Gallade-mega;Psychic Fighting 
Slowbro-mega;Water Psychic 
Metagross-mega;Steel Psychic 
Hoopa-unbound;Psychic Dark 
Raichu-alola;Electric Psychic 
Oricorio-pau;Psychic Flying 
Necrozma-dusk;Psychic Steel 
Necrozma-dawn;Psychic Ghost 
Necrozma-ultra;Psychic Dragon 
Geodude;Rock Ground 
Graveler;Rock Ground 
Golem;Rock Ground 
Onix;Rock Ground 
Rhyhorn;Ground Rock 
Rhydon;Ground Rock 
Omanyte;Rock Water 
Omastar;Rock Water 
Kabuto;Rock Water 
Kabutops;Rock Water 
Aerodactyl;Rock Flying 
Sudowoodo;Rock 
Shuckle;Bug Rock 
Magcargo;Fire Rock 
Corsola;Water Rock 
Larvitar;Rock Ground 
Pupitar;Rock Ground 
Tyranitar;Rock Dark 
Nosepass;Rock 
Aron;Steel Rock 
Lairon;Steel Rock 
Aggron;Steel Rock 
Lunatone;Rock Psychic 
Solrock;Rock Psychic 
Lileep;Rock Grass 
Cradily;Rock Grass 
Anorith;Rock Bug 
Armaldo;Rock Bug 
Relicanth;Water Rock 
Regirock;Rock 
Cranidos;Rock 
Rampardos;Rock 
Shieldon;Rock Steel 
Bastiodon;Rock Steel 
Bonsly;Rock 
Rhyperior;Ground Rock 
Probopass;Rock Steel 
Roggenrola;Rock 
Boldore;Rock 
Gigalith;Rock 
Dwebble;Bug Rock 
Crustle;Bug Rock 
Tirtouga;Water Rock 
Carracosta;Water Rock 
Archen;Rock Flying 
Archeops;Rock Flying 
Terrakion;Rock Fighting 
Binacle;Rock Water 
Barbaracle;Rock Water 
Tyrunt;Rock Dragon 
Tyrantrum;Rock Dragon 
Amaura;Rock Ice 
Aurorus;Rock Ice 
Carbink;Rock Fairy 
Diancie;Rock Fairy 
Rockruff;Rock 
Lycanroc-midday;Rock 
Minior-red-meteor;Rock Flying 
Nihilego;Rock Poison 
Stakataka;Rock Steel 
Aerodactyl-mega;Rock Flying 
Tyranitar-mega;Rock Dark 
Diancie-mega;Rock Fairy 
Geodude-alola;Rock Electric 
Graveler-alola;Rock Electric 
Golem-alola;Rock Electric 
Lycanroc-midnight;Rock 
Minior-orange-meteor;Rock Flying 
Minior-yellow-meteor;Rock Flying 
Minior-green-meteor;Rock Flying 
